lng,lat,name
8.2315198 , 50.0475589 ,"Burger King"
8.9331998 , 50.3299390 ,"Burger King"
7.8079498 , 50.6676489 ,"Burger King"
7.8542899 , 50.4521990 ,"Burger King"
9.3918998 , 50.6414589 ,"Burger King"
7.7898899 , 48.3106991 ,"Burger King"
10.1306898 , 48.6800890 ,"Burger King"
8.2561299 , 50.2184490 ,"Burger King"
9.1571598 , 47.6739090 ,"Burger King"
8.1340199 , 49.7491090 ,"Burger King"
8.4236797 , 49.4771990 ,"Burger King"
9.1779098 , 48.8906090 ,"Burger King"
9.4825798 , 47.6642390 ,"Burger King"
7.5600499 , 49.4234590 ,"Burger King"
8.5514398 , 49.6438390 ,"Burger King"
8.1392898 , 50.4692589 ,"Burger King"
9.5746998 , 50.8341790 ,"Burger King"
10.3544598 , 49.2426290 ,"Burger King"
9.1257198 , 48.7233090 ,"Burger King"
9.4899298 , 49.2032190 ,"Burger King"
7.0583499 , 50.7056690 ,"Burger King"
9.8244498 , 47.6972391 ,"Burger King"
7.1209998 , 50.8802690 ,"Burger King"
7.1221798 , 50.8777989 ,"Burger King"
7.2720598 , 50.7797089 ,"Burger King"
10.1771898 , 48.5831190 ,"Burger King"
10.0172798 , 49.9433389 ,"Burger King"
8.4975098 , 49.9102690 ,"Burger King"
8.3476898 , 48.9976290 ,"Burger King"
8.4029798 , 49.9838890 ,"Burger King"
8.1817098 , 49.5551490 ,"Burger King"
9.3006798 , 48.7392590 ,"Burger King"
8.9078098 , 50.0549889 ,"Burger King"
8.6811298 , 49.2881690 ,"Burger King"
8.1243498 , 49.2087690 ,"Burger King"
7.0291598 , 51.0253289 ,"Burger King"
8.5366698 , 49.3299990 ,"Burger King"
8.4736098 , 49.4845190 ,"Burger King"
8.3402398 , 49.4117690 ,"Burger King"
9.0337597 , 48.7410490 ,"Burger King"
8.0624198 , 50.3848289 ,"Burger King"
7.7189298 , 47.9700589 ,"Burger King"
7.9461798 , 50.8773190 ,"Burger King"
8.6005098 , 50.1548490 ,"Burger King"
8.1293698 , 48.7084890 ,"Burger King"
7.5850899 , 50.5481590 ,"Burger King"
10.1829898 , 48.9565690 ,"Burger King"
8.7222598 , 48.3862291 ,"Burger King"
9.2783798 , 51.1207889 ,"Burger King"
9.8130098 , 48.6138090 ,"Burger King"
6.8351399 , 50.9153690 ,"Burger King"
8.6198698 , 49.8150790 ,"Burger King"
8.6005398 , 50.2065490 ,"Burger King"
9.6619298 , 50.7121690 ,"Burger King"
8.8458198 , 49.9050890 ,"Burger King"
8.2198998 , 47.6223090 ,"Burger King"
6.6325799 , 49.4405289 ,"Burger King"
8.4888298 , 49.4640790 ,"Burger King"
9.1773198 , 49.9617989 ,"Burger King"
9.4735398 , 50.7927089 ,"Burger King"
7.2777998 , 49.9300690 ,"Burger King"
